Designator,Footprint,Quantity,Value,LCSC Part #
BATT+,TestPoint_Pad_D3.0mm,1,~,
BATT-,TestPoint_Pad_D3.0mm,1,TestPoint_Alt,
"BUTTON1, BUTTON2",KEY-SMD_4P-L6.2-W6.2-P4.50-LS9.0,2,DTSM-61R-V-T/R,C224977
D1,SMA_L4.4-W2.6-LS5.0-RD,1,1N5819_C437199,C437199
F1,1206,1,Resetable fuse 0.75A,
LDR1,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR07,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,8,WS2812B,
LS1,KSSGK4B16-20,1,KSSGK4B16-20,
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,2N7002_C306856,
"R1, R2, R4",1206,3,10k,
R3,1206,1,200,
R5,1206,1,100,
R7,1206,1,5k,
U1,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI_TH,
