Designator,Mid X,Mid Y,Rotation,Layer
BUTTON1,173.955777,-97.668771,270.0,bottom
BUTTON2,114.205777,-97.618771,270.0,bottom
D1,121.985777,-125.108771,0.0,bottom
F1,128.970777,-125.108771,0.0,bottom
LDR1,143.9,-71.0,0.0,bottom
LED1,161.990777,-89.548771,0.0,bottom
LED2,171.205777,-108.168771,315.0,bottom
LED3,146.115777,-113.043771,315.0,bottom
LED4,132.145777,-98.438771,20.0,bottom
LED5,115.955777,-113.918771,340.0,bottom
LED6,126.430777,-131.458771,30.0,bottom
LED7,161.355777,-130.188771,45.0,bottom
LED8,141.732,-79.248,45.0,bottom
LS1,151.555377,-81.039771,270.0,bottom
Q1,167.070777,-125.108771,0.0,bottom
R1,127.420777,-138.308771,0.0,bottom
R2,127.420777,-141.618771,180.0,bottom
R3,159.538,-81.788,0.0,bottom
R4,170.880777,-128.563771,270.0,bottom
R5,172.430777,-123.838771,0.0,bottom
R7,130.469377,-85.433971,180.0,bottom
U1,143.801915,-135.531649,180.0,bottom
